0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:35 +0100] "POST /configurator/UIDL/?v-uiId=2 HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:35 +0100] "POST /configurator/UIDL/?v-uiId=2 HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:36 +0100] "GET /configurator/ HTTP/1.1" 200 2169
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:36 +0100] "GET /configurator/VAADIN/vaadinBootstrap.js?v=8.1.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:36 +0100] "GET /configurator/VAADIN/themes/mytheme/styles.css?v=8.1.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:36 +0100] "GET /configurator/VAADIN/widgetsets/AppWidgetset/AppWidgetset.nocache.js?1518017796940 HTTP/1.1" 200 2918
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:36 +0100] "POST /configurator/?v-1518017796942 HTTP/1.1" 200 9834
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:37 +0100] "GET /configurator/VAADIN/widgetsets/AppWidgetset/CA4FB287204AE1F890BE4F774E07EE29.cache.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:37 +0100] "GET /configurator/VAADIN/themes/valo/shared/img/spinner.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:37 +0100] "GET /configurator/VAADIN/themes/valo/fonts/open-sans/OpenSans-Light-webfont.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:37 +0100] "GET /configurator/APP/global/3/legacy/30/logo_yellow_blue_medium.png HTTP/1.1" 200 35298
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:37 +0100] "GET /configurator/APP/global/3/legacy/36/search.png HTTP/1.1" 200 5464
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:37 +0100] "GET /configurator/APP/global/3/legacy/34/shoppingcart.png HTTP/1.1" 200 4576
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:37 +0100] "GET /configurator/APP/global/3/legacy/35/facebook.png HTTP/1.1" 200 3753
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:37 +0100] "GET /configurator/APP/global/3/legacy/33/instagram.png HTTP/1.1" 200 8365
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:37 +0100] "GET /configurator/APP/global/3/legacy/39/twitter.png HTTP/1.1" 200 5965
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:37 +0100] "GET /configurator/APP/global/3/legacy/31/crossfit.jpeg HTTP/1.1" 200 91346
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:37 +0100] "GET /configurator/APP/global/3/legacy/32/nutrition.jpg HTTP/1.1" 200 74942
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:37 +0100] "GET /configurator/APP/global/3/legacy/37/vimeo.png HTTP/1.1" 200 6303
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:37 +0100] "GET /configurator/APP/global/3/legacy/38/account.png HTTP/1.1" 200 5690
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:37 +0100] "GET /configurator/VAADIN/themes/valo/fonts/open-sans/OpenSans-Regular-webfont.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:37 +0100] "POST /configurator/UIDL/?v-uiId=3 HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:37:01 +0100] "POST /configurator/UIDL/?v-uiId=3 HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:37:01 +0100] "POST /configurator/UIDL/?v-uiId=3 HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:37:02 +0100] "POST /configurator/UIDL/?v-uiId=3 HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:37:02 +0100] "POST /configurator/UIDL/?v-uiId=3 HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:37:02 +0100] "POST /configurator/UIDL/?v-uiId=3 HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:37:02 +0100] "POST /configurator/UIDL/?v-uiId=3 HTTP/1.1" 200 158
